,Unnamed: 0,State,Account_Length,Area_code,Phone,International_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_calls,Day_Charge,Eve_Mins,Eve_calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,International_Mins,International_Calls,International_Charge,CustServ_Calls,Churn
0,0,16,0.6225490196078431,0.06862745098039191, 382-4657,0.0,1.0,0.5952380952380952,0.7898351648351649,0.5961538461538461,0.78989898989899,0.48987854251012153,0.48598130841121484,0.48982243395409275,0.6619822485207099,0.41346153846153844,0.5959354453078303,0.4748201438848921,0.30000000000000004,0.47466666666666674,0.1111111111111111,0
1,1,4,0.5196078431372549,0.06862745098039191, 371-7191,0.0,1.0,0.6190476190476191,0.43440934065934056,0.7211538461538461,0.43434343434343436,0.48288553551711455,0.5233644859813082,0.48289302728453876,0.6978550295857986,0.5288461538461539,0.6222355050806934,0.7410071942446042,0.30000000000000004,0.7413333333333334,0.1111111111111111,0
2,2,9,0.6666666666666666,0.06862745098039191, 358-1921,0.0,0.0,0.0,0.7153159340659341,0.6346153846153847,0.7153535353535355,0.20942215679057788,0.5887850467289719,0.20918146383715897,0.3583579881656804,0.5384615384615384,0.3753735803945009,0.633093525179856,0.5,0.6319999999999999,0.0,0
3,3,4,0.4068627450980392,0.0, 375-9999,1.0,0.0,0.0,0.9076236263736263,0.22115384615384615,0.9076767676767676,0.5023923444976077,0.38317757009345793,0.5023819835426592,0.48520710059171585,0.3942307692307693,0.4674237895995218,0.23021582733812945,0.7000000000000001,0.22933333333333333,0.2222222222222222,0
4,4,40,0.3627450980392157,0.06862745098039191, 330-6626,1.0,0.0,0.0,0.45192307692307687,0.6250000000000001,0.45191919191919194,0.3091645196908356,0.7009345794392523,0.3092247726288436,0.4482248520710059,0.701923076923077,0.44052600119545726,0.4820143884892086,0.30000000000000004,0.48266666666666663,0.3333333333333333,0
5,5,2,0.5735294117647058,1.0, 391-8027,1.0,0.0,0.0,0.6466346153846154,0.48076923076923084,0.6466666666666667,0.5752668384247333,0.5046728971962615,0.5751407535729753,0.5110946745562128,0.673076923076923,0.4865511057979677,0.20863309352517984,0.6000000000000001,0.20799999999999996,0.0,0
6,6,15,0.5882352941176471,1.0, 355-9993,0.0,1.0,0.5714285714285714,0.6287774725274725,0.3846153846153847,0.6286868686868688,0.5023923444976077,0.5700934579439252,0.5023819835426592,0.5432692307692306,0.673076923076923,0.5098625224148237,0.2949640287769784,0.7000000000000001,0.2959999999999999,0.3333333333333333,0
7,7,33,0.7156862745098039,0.06862745098039191, 329-9001,1.0,0.0,0.0,0.4186126373626373,0.29807692307692313,0.4185858585858586,0.14280456385719545,0.4392523364485981,0.14248592464270243,0.5403106508875739,0.46153846153846156,0.5074716078900179,0.2661870503597122,0.6000000000000001,0.26666666666666666,0.0,0
8,8,47,0.5686274509803921,0.0, 335-4719,0.0,0.0,0.0,0.5130494505494505,0.47115384615384615,0.5131313131313132,0.5023923444976077,0.308411214953271,0.5023819835426592,0.5551035502958579,0.40384615384615385,0.5182307232516438,0.3812949640287769,0.4,0.38133333333333336,0.1111111111111111,0
9,9,1,0.6862745098039216,0.06862745098039191, 330-8173,1.0,1.0,0.8809523809523809,0.7675137362637363,0.34615384615384615,0.7674747474747475,0.5804195804195805,0.5981308411214954,0.5803378085751407,0.964127218934911,0.47115384615384615,0.8158995815899581,0.5611510791366905,0.5,0.56,0.0,0
